Format;Material;Finish;Quantity;Price (DKK)
DIN A4;0,40 mm starker Chromokarton 255g;2 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);50;356
DIN A4;0,40 mm starker Chromokarton 255g;2 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);75;437
DIN A4;0,40 mm starker Chromokarton 255g;2 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);100;513
DIN A4;0,40 mm starker Chromokarton 255g;2 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);150;670
DIN A4;0,40 mm starker Chromokarton 255g;2 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);200;826
DIN A4;0,40 mm starker Chromokarton 255g;2 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);250;983
DIN A4;0,40 mm starker Chromokarton 255g;2 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);300;1140
DIN A4;0,40 mm starker Chromokarton 255g;2 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);350;1296
DIN A4;0,40 mm starker Chromokarton 255g;2 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);400;1453
DIN A4;0,40 mm starker Chromokarton 255g;2 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);450;1610
DIN A4;0,40 mm starker Chromokarton 255g;2 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);500;1766
DIN A4;0,40 mm starker Chromokarton 255g;2 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);750;2478
DIN A4;0,40 mm starker Chromokarton 255g;2 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);1000;2682
DIN A4;0,40 mm starker Chromokarton 255g;2 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);1250;4074
DIN A4;0,40 mm starker Chromokarton 255g;2 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);1500;4272
DIN A4;0,40 mm starker Chromokarton 255g;2 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);1750;4471
DIN A4;0,40 mm starker Chromokarton 255g;2 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);2000;4669
DIN A4;0,40 mm starker Chromokarton 255g;2 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);2250;4867
DIN A4;0,40 mm starker Chromokarton 255g;2 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);2500;5066
DIN A4;0,40 mm starker Chromokarton 255g;2 Laschen, 4/4 farbig (Außen- und Innenseite bedruckt);3000;7425
