row_type,format,material,surface,uv_lak,kachering,gloss_caching,quantity,eur,dkk_base,tier_multiplier,dkk_final,source_material,inferred_from_quantity,detail_url
base_surface,100x100mm,115g hochwertiger Qualitätsdruck,Gloss,,,,50,25.25,189.375,1.6,303,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-100-cm-x-100-cm-vertikaler-mittelfalz-4seitig.html
base_surface,100x100mm,115g hochwertiger Qualitätsdruck,Gloss,,,,100,27.82,208.65,1.6,334,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-100-cm-x-100-cm-vertikaler-mittelfalz-4seitig.html
base_surface,100x100mm,115g hochwertiger Qualitätsdruck,Gloss,,,,250,33.82,253.65,1.6,406,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-100-cm-x-100-cm-vertikaler-mittelfalz-4seitig.html
base_surface,100x100mm,115g hochwertiger Qualitätsdruck,Gloss,,,,500,36.6,274.5,1.6,439,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-100-cm-x-100-cm-vertikaler-mittelfalz-4seitig.html
base_surface,100x100mm,115g hochwertiger Qualitätsdruck,Gloss,,,,1000,42.09,315.675,1.6,505,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-100-cm-x-100-cm-vertikaler-mittelfalz-4seitig.html
base_surface,100x100mm,115g hochwertiger Qualitätsdruck,Gloss,,,,1500,58.9,441.75,1.6,707,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-100-cm-x-100-cm-vertikaler-mittelfalz-4seitig.html
base_surface,100x100mm,115g hochwertiger Qualitätsdruck,Gloss,,,,2000,60.2,451.5,1.6,722,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-100-cm-x-100-cm-vertikaler-mittelfalz-4seitig.html
base_surface,100x100mm,115g hochwertiger Qualitätsdruck,Gloss,,,,2500,61.5,461.25,1.6,738,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-100-cm-x-100-cm-vertikaler-mittelfalz-4seitig.html
base_surface,100x100mm,115g hochwertiger Qualitätsdruck,Gloss,,,,3000,81.2,609,1.6,974,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-100-cm-x-100-cm-vertikaler-mittelfalz-4seitig.html
base_surface,100x100mm,115g hochwertiger Qualitätsdruck,Gloss,,,,4000,83.08,623.1,1.6,997,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-100-cm-x-100-cm-vertikaler-mittelfalz-4seitig.html
