row_type,format,material,surface,uv_lak,kachering,gloss_caching,quantity,eur,dkk_base,tier_multiplier,dkk_final,source_material,inferred_from_quantity,detail_url
base_surface,210x210mm,115g hochwertiger Qualitätsdruck,Gloss,,,,50,47.51,356.325,1.6,570,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-210-cm-x-210-cm-vertikaler-wickelfalz-6seitig.html
base_surface,210x210mm,115g hochwertiger Qualitätsdruck,Gloss,,,,100,63.81,478.575,1.6,766,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-210-cm-x-210-cm-vertikaler-wickelfalz-6seitig.html
base_surface,210x210mm,115g hochwertiger Qualitätsdruck,Gloss,,,,250,79.98,599.85,1.6,960,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-210-cm-x-210-cm-vertikaler-wickelfalz-6seitig.html
base_surface,210x210mm,115g hochwertiger Qualitätsdruck,Gloss,,,,500,93.99,704.925,1.6,1128,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-210-cm-x-210-cm-vertikaler-wickelfalz-6seitig.html
base_surface,210x210mm,115g hochwertiger Qualitätsdruck,Gloss,,,,1000,117.37,880.275,1.6,1408,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-210-cm-x-210-cm-vertikaler-wickelfalz-6seitig.html
base_surface,210x210mm,115g hochwertiger Qualitätsdruck,Gloss,,,,1500,183.94,1379.55,1.6,2207,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-210-cm-x-210-cm-vertikaler-wickelfalz-6seitig.html
base_surface,210x210mm,115g hochwertiger Qualitätsdruck,Gloss,,,,2000,189.05,1417.875,1.6,2269,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-210-cm-x-210-cm-vertikaler-wickelfalz-6seitig.html
base_surface,210x210mm,115g hochwertiger Qualitätsdruck,Gloss,,,,2500,194.17,1456.275,1.6,2330,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-210-cm-x-210-cm-vertikaler-wickelfalz-6seitig.html
base_surface,210x210mm,115g hochwertiger Qualitätsdruck,Gloss,,,,3000,286.51,2148.825,1.5,3223,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-210-cm-x-210-cm-vertikaler-wickelfalz-6seitig.html
base_surface,210x210mm,115g hochwertiger Qualitätsdruck,Gloss,,,,4000,317.77,2383.275,1.5,3575,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-210-cm-x-210-cm-vertikaler-wickelfalz-6seitig.html
base_surface,210x210mm,115g hochwertiger Qualitätsdruck,Gloss,,,,5000,328.53,2463.975,1.5,3696,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-210-cm-x-210-cm-vertikaler-wickelfalz-6seitig.html
base_surface,210x210mm,115g hochwertiger Qualitätsdruck,Gloss,,,,6000,478.52,3588.9,1.5,5383,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-210-cm-x-210-cm-vertikaler-wickelfalz-6seitig.html
base_surface,210x210mm,115g hochwertiger Qualitätsdruck,Gloss,,,,7000,539.99,4049.925,1.5,6075,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-210-cm-x-210-cm-vertikaler-wickelfalz-6seitig.html
base_surface,210x210mm,115g hochwertiger Qualitätsdruck,Gloss,,,,8000,549.6,4122,1.5,6183,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-210-cm-x-210-cm-vertikaler-wickelfalz-6seitig.html
base_surface,210x210mm,115g hochwertiger Qualitätsdruck,Gloss,,,,9000,559.23,4194.225,1.5,6291,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-210-cm-x-210-cm-vertikaler-wickelfalz-6seitig.html
base_surface,210x210mm,115g hochwertiger Qualitätsdruck,Gloss,,,,10000,568.82,4266.15,1.5,6399,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-210-cm-x-210-cm-vertikaler-wickelfalz-6seitig.html
base_surface,210x210mm,115g hochwertiger Qualitätsdruck,Gloss,,,,12000,568.82,4266.15,1.5,6399,115g hochwertiger Qualitätsdruck glänzend,10000,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-210-cm-x-210-cm-vertikaler-wickelfalz-6seitig.html
base_surface,210x210mm,115g hochwertiger Qualitätsdruck,Gloss,,,,15000,807.5,6056.25,1.4,8479,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-210-cm-x-210-cm-vertikaler-wickelfalz-6seitig.html
base_surface,210x210mm,115g hochwertiger Qualitätsdruck,Gloss,,,,20000,1049.42,7870.65,1.4,11019,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-210-cm-x-210-cm-vertikaler-wickelfalz-6seitig.html
base_surface,210x210mm,115g hochwertiger Qualitätsdruck,Matt,,,,50,47.51,356.325,1.6,570,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-210-cm-x-210-cm-vertikaler-wickelfalz-6seitig.html
base_surface,210x210mm,115g hochwertiger Qualitätsdruck,Matt,,,,100,63.89,479.175,1.6,767,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-210-cm-x-210-cm-vertikaler-wickelfalz-6seitig.html
base_surface,210x210mm,115g hochwertiger Qualitätsdruck,Matt,,,,250,83.01,622.575,1.6,996,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-210-cm-x-210-cm-vertikaler-wickelfalz-6seitig.html
