row_type,format,material,surface,uv_lak,kachering,gloss_caching,quantity,eur,dkk_base,tier_multiplier,dkk_final,source_material,inferred_from_quantity,detail_url
base_surface,148x148mm,115g hochwertiger Qualitätsdruck,Gloss,,,,50,30.37,227.775,1.6,364,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-148-cm-x-148-cm-vertikaler-mittelfalz-4seitig.html
base_surface,148x148mm,115g hochwertiger Qualitätsdruck,Gloss,,,,100,32.72,245.4,1.6,393,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-148-cm-x-148-cm-vertikaler-mittelfalz-4seitig.html
base_surface,148x148mm,115g hochwertiger Qualitätsdruck,Gloss,,,,250,39.62,297.15,1.6,475,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-148-cm-x-148-cm-vertikaler-mittelfalz-4seitig.html
base_surface,148x148mm,115g hochwertiger Qualitätsdruck,Gloss,,,,500,43.05,322.875,1.6,517,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-148-cm-x-148-cm-vertikaler-mittelfalz-4seitig.html
base_surface,148x148mm,115g hochwertiger Qualitätsdruck,Gloss,,,,1000,44.47,333.525,1.6,534,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-148-cm-x-148-cm-vertikaler-mittelfalz-4seitig.html
base_surface,148x148mm,115g hochwertiger Qualitätsdruck,Gloss,,,,1500,63.9,479.25,1.6,767,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-148-cm-x-148-cm-vertikaler-mittelfalz-4seitig.html
base_surface,148x148mm,115g hochwertiger Qualitätsdruck,Gloss,,,,2000,70.97,532.275,1.6,852,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-148-cm-x-148-cm-vertikaler-mittelfalz-4seitig.html
base_surface,148x148mm,115g hochwertiger Qualitätsdruck,Gloss,,,,2500,74.43,558.225,1.6,893,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-148-cm-x-148-cm-vertikaler-mittelfalz-4seitig.html
base_surface,148x148mm,115g hochwertiger Qualitätsdruck,Gloss,,,,3000,84.58,634.35,1.6,1015,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-148-cm-x-148-cm-vertikaler-mittelfalz-4seitig.html
base_surface,148x148mm,115g hochwertiger Qualitätsdruck,Gloss,,,,4000,106.21,796.575,1.6,1275,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-148-cm-x-148-cm-vertikaler-mittelfalz-4seitig.html
base_surface,148x148mm,115g hochwertiger Qualitätsdruck,Gloss,,,,5000,126.92,951.9,1.6,1523,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-148-cm-x-148-cm-vertikaler-mittelfalz-4seitig.html
base_surface,148x148mm,115g hochwertiger Qualitätsdruck,Gloss,,,,6000,148.05,1110.375,1.6,1777,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-148-cm-x-148-cm-vertikaler-mittelfalz-4seitig.html
base_surface,148x148mm,115g hochwertiger Qualitätsdruck,Gloss,,,,7000,169.12,1268.4,1.6,2029,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-148-cm-x-148-cm-vertikaler-mittelfalz-4seitig.html
base_surface,148x148mm,115g hochwertiger Qualitätsdruck,Gloss,,,,8000,190.74,1430.55,1.6,2289,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-148-cm-x-148-cm-vertikaler-mittelfalz-4seitig.html
base_surface,148x148mm,115g hochwertiger Qualitätsdruck,Gloss,,,,9000,212.26,1591.95,1.6,2547,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-148-cm-x-148-cm-vertikaler-mittelfalz-4seitig.html
base_surface,148x148mm,115g hochwertiger Qualitätsdruck,Gloss,,,,10000,226.03,1695.225,1.6,2712,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-148-cm-x-148-cm-vertikaler-mittelfalz-4seitig.html
base_surface,148x148mm,115g hochwertiger Qualitätsdruck,Gloss,,,,12000,226.03,1695.225,1.6,2712,115g hochwertiger Qualitätsdruck glänzend,10000,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-148-cm-x-148-cm-vertikaler-mittelfalz-4seitig.html
base_surface,148x148mm,115g hochwertiger Qualitätsdruck,Gloss,,,,15000,317.55,2381.625,1.5,3572,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-148-cm-x-148-cm-vertikaler-mittelfalz-4seitig.html
base_surface,148x148mm,115g hochwertiger Qualitätsdruck,Gloss,,,,20000,430.56,3229.2,1.5,4844,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-148-cm-x-148-cm-vertikaler-mittelfalz-4seitig.html
base_surface,148x148mm,115g hochwertiger Qualitätsdruck,Matt,,,,50,30.37,227.775,1.6,364,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-148-cm-x-148-cm-vertikaler-mittelfalz-4seitig.html
base_surface,148x148mm,115g hochwertiger Qualitätsdruck,Matt,,,,100,32.73,245.475,1.6,393,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-148-cm-x-148-cm-vertikaler-mittelfalz-4seitig.html
base_surface,148x148mm,115g hochwertiger Qualitätsdruck,Matt,,,,250,39.64,297.3,1.6,476,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-148-cm-x-148-cm-vertikaler-mittelfalz-4seitig.html
base_surface,148x148mm,115g hochwertiger Qualitätsdruck,Matt,,,,500,43.12,323.4,1.6,517,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-148-cm-x-148-cm-vertikaler-mittelfalz-4seitig.html
base_surface,148x148mm,115g hochwertiger Qualitätsdruck,Matt,,,,1000,44.84,336.3,1.6,538,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-148-cm-x-148-cm-vertikaler-mittelfalz-4seitig.html
base_surface,148x148mm,115g hochwertiger Qualitätsdruck,Matt,,,,1500,63.65,477.375,1.6,764,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-148-cm-x-148-cm-vertikaler-mittelfalz-4seitig.html
base_surface,148x148mm,115g hochwertiger Qualitätsdruck,Matt,,,,2000,70.59,529.425,1.6,847,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-148-cm-x-148-cm-vertikaler-mittelfalz-4seitig.html
base_surface,148x148mm,115g hochwertiger Qualitätsdruck,Matt,,,,2500,74.29,557.175,1.6,891,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-148-cm-x-148-cm-vertikaler-mittelfalz-4seitig.html
base_surface,148x148mm,115g hochwertiger Qualitätsdruck,Matt,,,,3000,85.01,637.575,1.6,1020,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-148-cm-x-148-cm-vertikaler-mittelfalz-4seitig.html
base_surface,148x148mm,115g hochwertiger Qualitätsdruck,Matt,,,,4000,105.84,793.8,1.6,1270,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-148-cm-x-148-cm-vertikaler-mittelfalz-4seitig.html
base_surface,148x148mm,115g hochwertiger Qualitätsdruck,Matt,,,,5000,127.03,952.725,1.6,1524,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-148-cm-x-148-cm-vertikaler-mittelfalz-4seitig.html
base_surface,148x148mm,115g hochwertiger Qualitätsdruck,Matt,,,,6000,148.42,1113.15,1.6,1781,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-148-cm-x-148-cm-vertikaler-mittelfalz-4seitig.html
base_surface,148x148mm,115g hochwertiger Qualitätsdruck,Matt,,,,7000,169.62,1272.15,1.6,2035,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-148-cm-x-148-cm-vertikaler-mittelfalz-4seitig.html
