row_type,format,material,surface,uv_lak,kachering,gloss_caching,quantity,eur,dkk_base,tier_multiplier,dkk_final,source_material,inferred_from_quantity,detail_url
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,50,49.9,374.25,1.6,599,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-wickelfalz-8seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,100,66.61,499.575,1.6,799,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-wickelfalz-8seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,250,87.36,655.2,1.6,1048,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-wickelfalz-8seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,500,101.05,757.875,1.6,1213,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-wickelfalz-8seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,1000,123.79,928.425,1.6,1485,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-wickelfalz-8seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,1500,190.11,1425.825,1.6,2281,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-wickelfalz-8seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,2000,198.43,1488.225,1.6,2381,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-wickelfalz-8seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,2500,203.44,1525.8,1.6,2441,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-wickelfalz-8seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,3000,255.67,1917.525,1.6,3068,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-wickelfalz-8seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,4000,305.08,2288.1,1.5,3432,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-wickelfalz-8seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,5000,313.93,2354.475,1.5,3532,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-wickelfalz-8seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,6000,436.24,3271.8,1.5,4908,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-wickelfalz-8seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,7000,500.03,3750.225,1.5,5625,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-wickelfalz-8seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,8000,549.31,4119.825,1.5,6180,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-wickelfalz-8seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,9000,559.54,4196.55,1.5,6295,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-wickelfalz-8seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,10000,569.79,4273.425,1.5,6410,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-wickelfalz-8seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,12000,569.79,4273.425,1.5,6410,115g hochwertiger Qualitätsdruck glänzend,10000,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-wickelfalz-8seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,15000,874.47,6558.525,1.4,9182,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-wickelfalz-8seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,20000,1140.28,8552.1,1.4,11973,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-wickelfalz-8seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Matt,,,,50,49.9,374.25,1.6,599,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-wickelfalz-8seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Matt,,,,100,66.71,500.325,1.6,801,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-wickelfalz-8seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Matt,,,,250,87.26,654.45,1.6,1047,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-wickelfalz-8seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Matt,,,,500,101.01,757.575,1.6,1212,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-wickelfalz-8seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Matt,,,,1000,123.16,923.7,1.6,1478,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-wickelfalz-8seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Matt,,,,1500,189.93,1424.475,1.6,2279,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-wickelfalz-8seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Matt,,,,2000,217.64,1632.3,1.6,2612,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-wickelfalz-8seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Matt,,,,2500,226.14,1696.05,1.6,2714,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-wickelfalz-8seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Matt,,,,3000,256.27,1922.025,1.6,3075,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-wickelfalz-8seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Matt,,,,4000,314.86,2361.45,1.5,3542,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-wickelfalz-8seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Matt,,,,5000,373.49,2801.175,1.5,4202,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-wickelfalz-8seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Matt,,,,6000,436.04,3270.3,1.5,4905,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-wickelfalz-8seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Matt,,,,7000,499.83,3748.725,1.5,5623,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-wickelfalz-8seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Matt,,,,8000,563.69,4227.675,1.5,6342,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-wickelfalz-8seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Matt,,,,9000,627.13,4703.475,1.5,7055,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-wickelfalz-8seitig.html
