row_type,format,material,surface,uv_lak,kachering,gloss_caching,quantity,eur,dkk_base,tier_multiplier,dkk_final,source_material,inferred_from_quantity,detail_url
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,50,29.76,223.2,1.6,357,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-mittelfalz-4seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,100,37.71,282.825,1.6,453,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-mittelfalz-4seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,250,47.7,357.75,1.6,572,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-mittelfalz-4seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,500,54.46,408.45,1.6,654,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-mittelfalz-4seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,1000,55.81,418.575,1.6,670,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-mittelfalz-4seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,1500,84.72,635.4,1.6,1017,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-mittelfalz-4seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,2000,94.92,711.9,1.6,1139,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-mittelfalz-4seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,2500,98.91,741.825,1.6,1187,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-mittelfalz-4seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,3000,112.39,842.925,1.6,1349,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-mittelfalz-4seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,4000,138.34,1037.55,1.6,1660,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-vertikaler-mittelfalz-4seitig.html
