row_type,format,material,surface,uv_lak,kachering,gloss_caching,quantity,eur,dkk_base,tier_multiplier,dkk_final,source_material,inferred_from_quantity,detail_url
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,50,37.35,280.125,1.6,448,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,100,47.51,356.325,1.6,570,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,250,64.69,485.175,1.6,776,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,500,74,555,1.6,888,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,1000,80.31,602.325,1.6,964,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,1500,121.79,913.425,1.6,1461,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,2000,140.56,1054.2,1.6,1687,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,2500,147.83,1108.725,1.6,1774,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,3000,168.06,1260.45,1.6,2017,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,4000,209.44,1570.8,1.6,2513,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,5000,243.14,1823.55,1.6,2918,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,6000,293.23,2199.225,1.5,3299,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,7000,336.09,2520.675,1.5,3781,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,8000,378.77,2840.775,1.5,4261,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,9000,412.28,3092.1,1.5,4638,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,10000,419.31,3144.825,1.5,4717,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,12000,419.31,3144.825,1.5,4717,115g hochwertiger Qualitätsdruck glänzend,10000,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,15000,613.96,4604.7,1.5,6907,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,20000,773.34,5800.05,1.4,8120,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Matt,,,,50,37.35,280.125,1.6,448,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Matt,,,,100,47.31,354.825,1.6,568,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Matt,,,,250,64.78,485.85,1.6,777,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Matt,,,,500,74.07,555.525,1.6,889,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Matt,,,,1000,80.89,606.675,1.6,971,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Matt,,,,1500,121.38,910.35,1.6,1457,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Matt,,,,2000,140.33,1052.475,1.6,1684,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Matt,,,,2500,146.87,1101.525,1.6,1762,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Matt,,,,3000,167.97,1259.775,1.6,2016,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Matt,,,,4000,209.8,1573.5,1.6,2518,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Matt,,,,5000,251.28,1884.6,1.6,3015,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Matt,,,,6000,294.06,2205.45,1.5,3308,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Matt,,,,7000,336.05,2520.375,1.5,3781,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Matt,,,,8000,379.09,2843.175,1.5,4265,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Matt,,,,9000,421.73,3162.975,1.5,4744,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Matt,,,,10000,464.18,3481.35,1.5,5222,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Matt,,,,12000,464.18,3481.35,1.5,5222,115g hochwertiger Qualitätsdruck matt,10000,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Matt,,,,15000,643.49,4826.175,1.5,7239,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Matt,,,,20000,845.78,6343.35,1.4,8881,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Gloss,,,,50,9.31,69.825,1.6,112,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Gloss,,,,100,18.59,139.425,1.6,223,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Gloss,,,,250,46.72,350.4,1.6,561,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Gloss,,,,500,59.27,444.525,1.6,711,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Gloss,,,,1000,78.6,589.5,1.6,943,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Gloss,,,,1500,103.18,773.85,1.6,1238,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Gloss,,,,2000,116.31,872.325,1.6,1396,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Gloss,,,,2500,128.66,964.95,1.6,1544,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Gloss,,,,3000,147.88,1109.1,1.6,1775,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Gloss,,,,4000,188.41,1413.075,1.6,2261,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Gloss,,,,5000,228.05,1710.375,1.6,2737,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Gloss,,,,6000,266.97,2002.275,1.5,3003,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Gloss,,,,7000,305.89,2294.175,1.5,3441,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Gloss,,,,8000,343.85,2578.875,1.5,3868,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Gloss,,,,9000,383.09,2873.175,1.5,4310,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Gloss,,,,10000,422.51,3168.825,1.5,4753,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Gloss,,,,12000,422.51,3168.825,1.5,4753,135g hochwertiger Qualitätsdruck glänzend,10000,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Gloss,,,,15000,614.05,4605.375,1.5,6908,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Gloss,,,,20000,789.14,5918.55,1.4,8286,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Matt,,,,50,26.92,201.9,1.6,323,135g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Matt,,,,100,34.77,260.775,1.6,417,135g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Matt,,,,250,46.59,349.425,1.6,559,135g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Matt,,,,500,59.45,445.875,1.6,713,135g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Matt,,,,1000,79.33,594.975,1.6,952,135g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Matt,,,,1500,103.22,774.15,1.6,1239,135g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Matt,,,,2000,116.16,871.2,1.6,1394,135g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Matt,,,,2500,128.41,963.075,1.6,1541,135g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Matt,,,,3000,148.22,1111.65,1.6,1779,135g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Matt,,,,4000,187.75,1408.125,1.6,2253,135g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Matt,,,,5000,227.48,1706.1,1.6,2730,135g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Matt,,,,6000,265.55,1991.625,1.6,3187,135g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Matt,,,,7000,305.16,2288.7,1.5,3433,135g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Matt,,,,8000,343.18,2573.85,1.5,3861,135g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Matt,,,,9000,382.69,2870.175,1.5,4305,135g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Matt,,,,10000,421.36,3160.2,1.5,4740,135g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Matt,,,,12000,421.36,3160.2,1.5,4740,135g hochwertiger Qualitätsdruck matt,10000,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Matt,,,,15000,613.51,4601.325,1.5,6902,135g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A5,135g hochwertiger Qualitätsdruck,Matt,,,,20000,808.4,6063,1.4,8488,135g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-wickelfalz-6seitig.html
