row_type,format,material,surface,uv_lak,kachering,gloss_caching,quantity,eur,dkk_base,tier_multiplier,dkk_final,source_material,inferred_from_quantity,detail_url
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,50,30.37,227.775,1.6,364,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,100,37.71,282.825,1.6,453,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,250,47.2,354,1.6,566,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,500,52.47,393.525,1.6,630,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,1000,55.7,417.75,1.6,668,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,1500,83.18,623.85,1.6,998,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,2000,93.87,704.025,1.6,1126,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,2500,99.15,743.625,1.6,1190,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,3000,111.97,839.775,1.6,1344,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,4000,137.51,1031.325,1.6,1650,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,5000,163.02,1222.65,1.6,1956,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,6000,189.18,1418.85,1.6,2270,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A5,115g hochwertiger Qualitätsdruck,Gloss,,,,7000,215.51,1616.325,1.6,2586,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a5-quer-vertikaler-mittelfalz-4seitig.html
