row_type,format,material,surface,uv_lak,kachering,gloss_caching,quantity,eur,dkk_base,tier_multiplier,dkk_final,source_material,inferred_from_quantity,detail_url
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,50,26.55,199.125,1.6,319,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,100,30.37,227.775,1.6,364,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,250,36.29,272.175,1.6,435,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,500,37.73,282.975,1.6,453,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,1000,39.06,292.95,1.6,469,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,1500,54.12,405.9,1.6,649,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,2000,59.59,446.925,1.6,715,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,2500,63.28,474.6,1.6,759,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,3000,70.75,530.625,1.6,849,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,4000,85.13,638.475,1.6,1022,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,5000,99.54,746.55,1.6,1194,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,6000,117.42,880.65,1.6,1409,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,7000,134.59,1009.425,1.6,1615,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,8000,152.19,1141.425,1.6,1826,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,9000,170.12,1275.9,1.6,2041,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,10000,178.61,1339.575,1.6,2143,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,12000,178.61,1339.575,1.6,2143,115g hochwertiger Qualitätsdruck glänzend,10000,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,15000,249.22,1869.15,1.6,2991,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,20000,318.24,2386.8,1.5,3580,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Matt,,,,50,26.55,199.125,1.6,319,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Matt,,,,100,30.37,227.775,1.6,364,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Matt,,,,250,36.75,275.625,1.6,441,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Matt,,,,500,37.74,283.05,1.6,453,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Matt,,,,1000,38.79,290.925,1.6,465,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Matt,,,,1500,54.81,411.075,1.6,658,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Matt,,,,2000,59.7,447.75,1.6,716,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Matt,,,,2500,62.77,470.775,1.6,753,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Matt,,,,3000,69.82,523.65,1.6,838,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Matt,,,,4000,84.63,634.725,1.6,1016,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Matt,,,,5000,99.11,743.325,1.6,1189,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Matt,,,,6000,114.26,856.95,1.6,1371,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Matt,,,,7000,128.54,964.05,1.6,1542,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Matt,,,,8000,142.98,1072.35,1.6,1716,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Matt,,,,9000,157.83,1183.725,1.6,1894,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Matt,,,,10000,172.19,1291.425,1.6,2066,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Matt,,,,12000,172.19,1291.425,1.6,2066,115g hochwertiger Qualitätsdruck matt,10000,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Matt,,,,15000,249.24,1869.3,1.6,2991,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Matt,,,,20000,328.26,2461.95,1.5,3693,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,135g hochwertiger Qualitätsdruck,Gloss,,,,50,12.02,90.15,1.6,144,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,135g hochwertiger Qualitätsdruck,Gloss,,,,100,19.26,144.45,1.6,231,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,135g hochwertiger Qualitätsdruck,Gloss,,,,250,21.44,160.8,1.6,257,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,135g hochwertiger Qualitätsdruck,Gloss,,,,500,28.01,210.075,1.6,336,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,135g hochwertiger Qualitätsdruck,Gloss,,,,1000,36,270,1.6,432,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,135g hochwertiger Qualitätsdruck,Gloss,,,,1500,46.77,350.775,1.6,561,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,135g hochwertiger Qualitätsdruck,Gloss,,,,2000,51.78,388.35,1.6,621,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,135g hochwertiger Qualitätsdruck,Gloss,,,,2500,57.92,434.4,1.6,695,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,135g hochwertiger Qualitätsdruck,Gloss,,,,3000,64.1,480.75,1.6,769,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,135g hochwertiger Qualitätsdruck,Gloss,,,,4000,77.53,581.475,1.6,930,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,135g hochwertiger Qualitätsdruck,Gloss,,,,5000,90.18,676.35,1.6,1082,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,135g hochwertiger Qualitätsdruck,Gloss,,,,6000,103.65,777.375,1.6,1244,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,135g hochwertiger Qualitätsdruck,Gloss,,,,7000,117.08,878.1,1.6,1405,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,135g hochwertiger Qualitätsdruck,Gloss,,,,8000,131.13,983.475,1.6,1574,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,135g hochwertiger Qualitätsdruck,Gloss,,,,9000,145.3,1089.75,1.6,1744,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,135g hochwertiger Qualitätsdruck,Gloss,,,,10000,158.35,1187.625,1.6,1900,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,135g hochwertiger Qualitätsdruck,Gloss,,,,12000,158.35,1187.625,1.6,1900,135g hochwertiger Qualitätsdruck glänzend,10000,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,135g hochwertiger Qualitätsdruck,Gloss,,,,15000,232.6,1744.5,1.6,2791,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,135g hochwertiger Qualitätsdruck,Gloss,,,,20000,298.19,2236.425,1.5,3355,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,135g hochwertiger Qualitätsdruck,Matt,,,,50,12.52,93.9,1.6,150,135g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
base_surface,A6,135g hochwertiger Qualitätsdruck,Matt,,,,100,18.17,136.275,1.6,218,135g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-vertikaler-mittelfalz-4seitig.html
