row_type,format,material,surface,uv_lak,kachering,gloss_caching,quantity,eur,dkk_base,tier_multiplier,dkk_final,source_material,inferred_from_quantity,detail_url
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,50,30.37,227.775,1.6,364,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,100,38.34,287.55,1.6,460,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,250,46.8,351,1.6,562,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,500,48.6,364.5,1.6,583,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,1000,50.56,379.2,1.6,607,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,1500,70.49,528.675,1.6,846,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,2000,78.33,587.475,1.6,940,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,2500,82.47,618.525,1.6,990,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,3000,93.64,702.3,1.6,1124,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A6,115g hochwertiger Qualitätsdruck,Gloss,,,,4000,117.16,878.7,1.6,1406,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-wickelfalz-6seitig.html
