row_type,format,material,surface,uv_lak,kachering,gloss_caching,quantity,eur,dkk_base,tier_multiplier,dkk_final,source_material,inferred_from_quantity,detail_url
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,50,26.55,199.125,1.6,319,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,100,29.22,219.15,1.6,351,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,250,34.83,261.225,1.6,418,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,500,36.66,274.95,1.6,440,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,1000,42.59,319.425,1.6,511,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,1500,50.64,379.8,1.6,608,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,2000,56.87,426.525,1.6,682,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,2500,59.74,448.05,1.6,717,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,3000,66.93,501.975,1.6,803,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,4000,81.16,608.7,1.6,974,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,5000,96.24,721.8,1.6,1155,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,6000,112.09,840.675,1.6,1345,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,7000,128.65,964.875,1.6,1544,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,8000,144.79,1085.925,1.6,1737,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,9000,160.74,1205.55,1.6,1929,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,10000,178.61,1339.575,1.6,2143,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,12000,178.61,1339.575,1.6,2143,115g hochwertiger Qualitätsdruck glänzend,10000,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,15000,243.04,1822.8,1.6,2916,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,20000,314.23,2356.725,1.5,3535,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Matt,,,,50,26.55,199.125,1.6,319,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Matt,,,,100,29.26,219.45,1.6,351,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Matt,,,,250,34.74,260.55,1.6,417,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Matt,,,,500,36.79,275.925,1.6,441,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Matt,,,,1000,42.5,318.75,1.6,510,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Matt,,,,1500,51,382.5,1.6,612,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Matt,,,,2000,56.3,422.25,1.6,676,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Matt,,,,2500,59.81,448.575,1.6,718,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Matt,,,,3000,66.99,502.425,1.6,804,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Matt,,,,4000,81.34,610.05,1.6,976,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Matt,,,,5000,96.24,721.8,1.6,1155,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Matt,,,,6000,111.92,839.4,1.6,1343,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Matt,,,,7000,128.72,965.4,1.6,1545,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Matt,,,,8000,142.46,1068.45,1.6,1710,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Matt,,,,9000,157.68,1182.6,1.6,1892,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Matt,,,,10000,172.02,1290.15,1.6,2064,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Matt,,,,12000,172.02,1290.15,1.6,2064,115g hochwertiger Qualitätsdruck matt,10000,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Matt,,,,15000,243.4,1825.5,1.6,2921,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,115g hochwertiger Qualitätsdruck,Matt,,,,20000,314.42,2358.15,1.5,3537,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,135g hochwertiger Qualitätsdruck,Gloss,,,,50,15.13,113.475,1.6,182,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A6 Vandret,135g hochwertiger Qualitätsdruck,Gloss,,,,100,18.73,140.475,1.6,225,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a6-quer-vertikaler-mittelfalz-4seitig.html
