row_type,format,material,surface,uv_lak,kachering,gloss_caching,quantity,eur,dkk_base,tier_multiplier,dkk_final,source_material,inferred_from_quantity,detail_url
base_surface,A7,115g hochwertiger Qualitätsdruck,Gloss,,,,50,26.55,199.125,1.6,319,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-vertikaler-wickelfalz-6seitig.html
base_surface,A7,115g hochwertiger Qualitätsdruck,Gloss,,,,100,30.37,227.775,1.6,364,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-vertikaler-wickelfalz-6seitig.html
base_surface,A7,115g hochwertiger Qualitätsdruck,Gloss,,,,250,33.8,253.5,1.6,406,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-vertikaler-wickelfalz-6seitig.html
base_surface,A7,115g hochwertiger Qualitätsdruck,Gloss,,,,500,35.97,269.775,1.6,432,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-vertikaler-wickelfalz-6seitig.html
base_surface,A7,115g hochwertiger Qualitätsdruck,Gloss,,,,1000,43.84,328.8,1.6,526,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-vertikaler-wickelfalz-6seitig.html
base_surface,A7,115g hochwertiger Qualitätsdruck,Gloss,,,,1500,58.95,442.125,1.6,707,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-vertikaler-wickelfalz-6seitig.html
base_surface,A7,115g hochwertiger Qualitätsdruck,Gloss,,,,2000,62.56,469.2,1.6,751,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-vertikaler-wickelfalz-6seitig.html
base_surface,A7,115g hochwertiger Qualitätsdruck,Gloss,,,,2500,65.73,492.975,1.6,789,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-vertikaler-wickelfalz-6seitig.html
base_surface,A7,115g hochwertiger Qualitätsdruck,Gloss,,,,3000,71.67,537.525,1.6,860,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-vertikaler-wickelfalz-6seitig.html
base_surface,A7,115g hochwertiger Qualitätsdruck,Gloss,,,,4000,84.1,630.75,1.6,1009,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-vertikaler-wickelfalz-6seitig.html
