row_type,format,material,surface,kachering,gloss_caching,quantity,eur,dkk_base,tier_multiplier,dkk_final,source_material,inferred_from_quantity,detail_url
base_surface,A7,115g hochwertiger Qualitätsdruck,Gloss,,,50,22.16,166.2,1.6,266,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A7,115g hochwertiger Qualitätsdruck,Gloss,,,100,22.7,170.25,1.6,272,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A7,115g hochwertiger Qualitätsdruck,Gloss,,,250,30.31,227.325,1.6,364,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A7,115g hochwertiger Qualitätsdruck,Gloss,,,500,33.94,254.55,1.6,407,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A7,115g hochwertiger Qualitätsdruck,Gloss,,,1000,38.25,286.875,1.6,459,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A7,115g hochwertiger Qualitätsdruck,Gloss,,,1500,38.25,286.875,1.6,459,115g hochwertiger Qualitätsdruck glänzend,1000,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A7,115g hochwertiger Qualitätsdruck,Gloss,,,2000,55,412.5,1.6,660,115g hochwertiger Qualitätsdruck glänzend,2500,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A7,115g hochwertiger Qualitätsdruck,Gloss,,,2500,55,412.5,1.6,660,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A7,115g hochwertiger Qualitätsdruck,Gloss,,,3000,55,412.5,1.6,660,115g hochwertiger Qualitätsdruck glänzend,2500,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-quer-vertikaler-mittelfalz-4seitig.html
base_surface,A7,115g hochwertiger Qualitätsdruck,Gloss,,,4000,76.07,570.525,1.6,913,115g hochwertiger Qualitätsdruck glänzend,5000,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-quer-vertikaler-mittelfalz-4seitig.html
