row_type,format,material,surface,uv_lak,kachering,gloss_caching,quantity,eur,dkk_base,tier_multiplier,dkk_final,source_material,inferred_from_quantity,detail_url
base_surface,A7 vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,50,22.05,165.375,1.6,265,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A7 vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,100,29.47,221.025,1.6,354,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A7 vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,250,33.8,253.5,1.6,406,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A7 vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,500,35.97,269.775,1.6,432,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A7 vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,1000,43.84,328.8,1.6,526,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A7 vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,1500,43.84,328.8,1.6,526,115g hochwertiger Qualitätsdruck glänzend,1000,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A7 vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,2000,69.08,518.1,1.6,829,115g hochwertiger Qualitätsdruck glänzend,2500,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A7 vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,2500,69.08,518.1,1.6,829,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A7 vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,3000,69.08,518.1,1.6,829,115g hochwertiger Qualitätsdruck glänzend,2500,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A7 vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,4000,104.82,786.15,1.6,1258,115g hochwertiger Qualitätsdruck glänzend,5000,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A7 vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,5000,104.82,786.15,1.6,1258,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A7 vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,6000,104.82,786.15,1.6,1258,115g hochwertiger Qualitätsdruck glänzend,5000,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A7 vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,7000,104.82,786.15,1.6,1258,115g hochwertiger Qualitätsdruck glänzend,5000,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A7 vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,8000,170.51,1278.825,1.6,2046,115g hochwertiger Qualitätsdruck glänzend,10000,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A7 vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,9000,170.51,1278.825,1.6,2046,115g hochwertiger Qualitätsdruck glänzend,10000,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A7 vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,10000,170.51,1278.825,1.6,2046,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A7 vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,12000,170.51,1278.825,1.6,2046,115g hochwertiger Qualitätsdruck glänzend,10000,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A7 vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,15000,234.01,1755.075,1.6,2808,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A7 vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,20000,298.44,2238.3,1.5,3357,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-quer-vertikaler-wickelfalz-6seitig.html
base_surface,A7 vandret,115g hochwertiger Qualitätsdruck,Matt,,,,50,27.3,204.75,1.6,328,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-a7-quer-vertikaler-wickelfalz-6seitig.html
