row_type,format,material,surface,uv_lak,kachering,gloss_caching,quantity,eur,dkk_base,tier_multiplier,dkk_final,source_material,inferred_from_quantity,detail_url
base_surface,100x100mm,115g hochwertiger Qualitätsdruck,Gloss,,,,50,26.55,199.125,1.6,319,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-100-cm-x-100-cm-vertikaler-wickelfalz-6seitig.html
base_surface,100x100mm,115g hochwertiger Qualitätsdruck,Gloss,,,,100,30.37,227.775,1.6,364,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-100-cm-x-100-cm-vertikaler-wickelfalz-6seitig.html
base_surface,100x100mm,115g hochwertiger Qualitätsdruck,Gloss,,,,250,40.27,302.025,1.6,483,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-100-cm-x-100-cm-vertikaler-wickelfalz-6seitig.html
base_surface,100x100mm,115g hochwertiger Qualitätsdruck,Gloss,,,,500,47.14,353.55,1.6,566,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-100-cm-x-100-cm-vertikaler-wickelfalz-6seitig.html
base_surface,100x100mm,115g hochwertiger Qualitätsdruck,Gloss,,,,1000,55.19,413.925,1.6,662,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-100-cm-x-100-cm-vertikaler-wickelfalz-6seitig.html
base_surface,100x100mm,115g hochwertiger Qualitätsdruck,Gloss,,,,1500,79.55,596.625,1.6,955,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-100-cm-x-100-cm-vertikaler-wickelfalz-6seitig.html
base_surface,100x100mm,115g hochwertiger Qualitätsdruck,Gloss,,,,2000,81.44,610.8,1.6,977,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-100-cm-x-100-cm-vertikaler-wickelfalz-6seitig.html
base_surface,100x100mm,115g hochwertiger Qualitätsdruck,Gloss,,,,2500,83.31,624.825,1.6,1000,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-100-cm-x-100-cm-vertikaler-wickelfalz-6seitig.html
base_surface,100x100mm,115g hochwertiger Qualitätsdruck,Gloss,,,,3000,117.56,881.7,1.6,1411,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-100-cm-x-100-cm-vertikaler-wickelfalz-6seitig.html
base_surface,100x100mm,115g hochwertiger Qualitätsdruck,Gloss,,,,4000,120.84,906.3,1.6,1450,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-100-cm-x-100-cm-vertikaler-wickelfalz-6seitig.html
base_surface,100x100mm,115g hochwertiger Qualitätsdruck,Gloss,,,,5000,124.11,930.825,1.6,1489,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-100-cm-x-100-cm-vertikaler-wickelfalz-6seitig.html
base_surface,100x100mm,115g hochwertiger Qualitätsdruck,Gloss,,,,6000,197.41,1480.575,1.6,2369,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-100-cm-x-100-cm-vertikaler-wickelfalz-6seitig.html
base_surface,100x100mm,115g hochwertiger Qualitätsdruck,Gloss,,,,7000,200.9,1506.75,1.6,2411,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-100-cm-x-100-cm-vertikaler-wickelfalz-6seitig.html
base_surface,100x100mm,115g hochwertiger Qualitätsdruck,Gloss,,,,8000,204.4,1533,1.6,2453,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-100-cm-x-100-cm-vertikaler-wickelfalz-6seitig.html
base_surface,100x100mm,115g hochwertiger Qualitätsdruck,Gloss,,,,9000,207.89,1559.175,1.6,2495,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-100-cm-x-100-cm-vertikaler-wickelfalz-6seitig.html
base_surface,100x100mm,115g hochwertiger Qualitätsdruck,Gloss,,,,10000,211.37,1585.275,1.6,2536,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-100-cm-x-100-cm-vertikaler-wickelfalz-6seitig.html
base_surface,100x100mm,115g hochwertiger Qualitätsdruck,Gloss,,,,12000,211.37,1585.275,1.6,2536,115g hochwertiger Qualitätsdruck glänzend,10000,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-100-cm-x-100-cm-vertikaler-wickelfalz-6seitig.html
base_surface,100x100mm,115g hochwertiger Qualitätsdruck,Gloss,,,,15000,299.01,2242.575,1.5,3364,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-100-cm-x-100-cm-vertikaler-wickelfalz-6seitig.html
base_surface,100x100mm,115g hochwertiger Qualitätsdruck,Gloss,,,,20000,383.29,2874.675,1.5,4312,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-100-cm-x-100-cm-vertikaler-wickelfalz-6seitig.html
base_surface,100x100mm,115g hochwertiger Qualitätsdruck,Matt,,,,50,26.55,199.125,1.6,319,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-quadrat-100-cm-x-100-cm-vertikaler-wickelfalz-6seitig.html
