row_type,format,material,surface,uv_lak,kachering,gloss_caching,quantity,eur,dkk_base,tier_multiplier,dkk_final,source_material,inferred_from_quantity,detail_url
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,50,38.34,287.55,1.6,460,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,100,53.03,397.725,1.6,636,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,250,65.46,490.95,1.6,786,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,500,74.11,555.825,1.6,889,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,1000,80.62,604.65,1.6,967,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,1500,119.31,894.825,1.6,1432,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,2000,137.03,1027.725,1.6,1644,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,2500,145.81,1093.575,1.6,1750,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,3000,161.42,1210.65,1.6,1937,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,4000,192.65,1444.875,1.6,2312,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,5000,226.65,1699.875,1.6,2720,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,6000,262.19,1966.425,1.6,3146,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,7000,299.48,2246.1,1.5,3369,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,8000,336.95,2527.125,1.5,3791,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,9000,374.88,2811.6,1.5,4217,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,10000,400.92,3006.9,1.5,4510,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,12000,400.92,3006.9,1.5,4510,115g hochwertiger Qualitätsdruck glänzend,10000,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,15000,609.11,4568.325,1.5,6852,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,20000,771.03,5782.725,1.4,8096,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Matt,,,,50,38.34,287.55,1.6,460,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Matt,,,,100,53.01,397.575,1.6,636,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Matt,,,,250,65.47,491.025,1.6,786,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Matt,,,,500,74.04,555.3,1.6,888,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Matt,,,,1000,80.56,604.2,1.6,967,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Matt,,,,1500,119.61,897.075,1.6,1435,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Matt,,,,2000,137.45,1030.875,1.6,1649,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Matt,,,,2500,145.02,1087.65,1.6,1740,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Matt,,,,3000,161.19,1208.925,1.6,1934,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Matt,,,,4000,192.57,1444.275,1.6,2311,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Matt,,,,5000,224.34,1682.55,1.6,2692,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Matt,,,,6000,261.65,1962.375,1.6,3140,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Matt,,,,7000,299.81,2248.575,1.5,3373,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Matt,,,,8000,337.26,2529.45,1.5,3794,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Matt,,,,9000,374.44,2808.3,1.5,4212,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Matt,,,,10000,411.51,3086.325,1.5,4629,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Matt,,,,12000,411.51,3086.325,1.5,4629,115g hochwertiger Qualitätsdruck matt,10000,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Matt,,,,15000,628.14,4711.05,1.5,7067,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Matt,,,,20000,786.05,5895.375,1.4,8254,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,135g hochwertiger Qualitätsdruck,Gloss,,,,50,27.67,207.525,1.6,332,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,135g hochwertiger Qualitätsdruck,Gloss,,,,100,39.52,296.4,1.6,474,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,135g hochwertiger Qualitätsdruck,Gloss,,,,250,44.82,336.15,1.6,538,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
base_surface,M65,135g hochwertiger Qualitätsdruck,Gloss,,,,500,55.68,417.6,1.6,668,135g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-8seitig.html
