row_type,format,material,surface,uv_lak,kachering,gloss_caching,quantity,eur,dkk_base,tier_multiplier,dkk_final,source_material,inferred_from_quantity,detail_url
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,50,29.62,222.15,1.6,355,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-105-cm-x-210-cm-vertikaler-mittelfalz-4seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,100,32.06,240.45,1.6,385,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-105-cm-x-210-cm-vertikaler-mittelfalz-4seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,250,36.71,275.325,1.6,441,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-105-cm-x-210-cm-vertikaler-mittelfalz-4seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,500,39.7,297.75,1.6,476,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-105-cm-x-210-cm-vertikaler-mittelfalz-4seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,1000,41.25,309.375,1.6,495,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-105-cm-x-210-cm-vertikaler-mittelfalz-4seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,1500,58.92,441.9,1.6,707,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-105-cm-x-210-cm-vertikaler-mittelfalz-4seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,2000,64.42,483.15,1.6,773,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-105-cm-x-210-cm-vertikaler-mittelfalz-4seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,2500,67.96,509.7,1.6,816,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-105-cm-x-210-cm-vertikaler-mittelfalz-4seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,3000,75.06,562.95,1.6,901,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-105-cm-x-210-cm-vertikaler-mittelfalz-4seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,4000,88.9,666.75,1.6,1067,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-105-cm-x-210-cm-vertikaler-mittelfalz-4seitig.html
