row_type,format,material,surface,uv_lak,kachering,gloss_caching,quantity,eur,dkk_base,tier_multiplier,dkk_final,source_material,inferred_from_quantity,detail_url
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,50,29.76,223.2,1.6,357,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-6seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,100,36.21,271.575,1.6,435,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-6seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,250,45.14,338.55,1.6,542,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-6seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,500,50.68,380.1,1.6,608,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-6seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,1000,51.82,388.65,1.6,622,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-6seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,1500,77.48,581.1,1.6,930,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-6seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,2000,88.74,665.55,1.6,1065,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-6seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,2500,92.62,694.65,1.6,1111,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-6seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,3000,103.31,774.825,1.6,1240,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-6seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,4000,125.1,938.25,1.6,1501,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-6seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,5000,146.53,1098.975,1.6,1758,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-6seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,6000,172.71,1295.325,1.6,2073,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-6seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,7000,199.35,1495.125,1.6,2392,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-6seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,8000,226.29,1697.175,1.6,2715,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-6seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,9000,252.49,1893.675,1.6,3030,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-6seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,10000,278.96,2092.2,1.5,3138,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-6seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,12000,278.96,2092.2,1.5,3138,115g hochwertiger Qualitätsdruck glänzend,10000,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-6seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,15000,418.09,3135.675,1.5,4704,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-6seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Gloss,,,,20000,561.85,4213.875,1.5,6321,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-6seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Matt,,,,50,29.76,223.2,1.6,357,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-6seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Matt,,,,100,35.83,268.725,1.6,430,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-6seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Matt,,,,250,45.15,338.625,1.6,542,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-6seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Matt,,,,500,50.68,380.1,1.6,608,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-6seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Matt,,,,1000,51.45,385.875,1.6,617,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-6seitig.html
base_surface,M65,115g hochwertiger Qualitätsdruck,Matt,,,,1500,77.51,581.325,1.6,930,115g hochwertiger Qualitätsdruck matt,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-vertikaler-wickelfalz-6seitig.html
