row_type,format,material,surface,uv_lak,kachering,gloss_caching,quantity,eur,dkk_base,tier_multiplier,dkk_final,source_material,inferred_from_quantity,detail_url
base_surface,M65 vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,50,37.35,280.125,1.6,448,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-quer-vertikaler-wickelfalz-6seitig.html
base_surface,M65 vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,100,41.78,313.35,1.6,501,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-quer-vertikaler-wickelfalz-6seitig.html
base_surface,M65 vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,250,51.24,384.3,1.6,615,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-quer-vertikaler-wickelfalz-6seitig.html
base_surface,M65 vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,500,56.33,422.475,1.6,676,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-quer-vertikaler-wickelfalz-6seitig.html
base_surface,M65 vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,1000,58.41,438.075,1.6,701,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-quer-vertikaler-wickelfalz-6seitig.html
base_surface,M65 vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,1500,88.67,665.025,1.6,1064,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-quer-vertikaler-wickelfalz-6seitig.html
base_surface,M65 vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,2000,96.76,725.7,1.6,1161,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-quer-vertikaler-wickelfalz-6seitig.html
base_surface,M65 vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,2500,108.6,814.5,1.6,1303,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-quer-vertikaler-wickelfalz-6seitig.html
base_surface,M65 vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,3000,122.12,915.9,1.6,1465,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-quer-vertikaler-wickelfalz-6seitig.html
base_surface,M65 vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,4000,150.08,1125.6,1.6,1801,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-quer-vertikaler-wickelfalz-6seitig.html
base_surface,M65 vandret,115g hochwertiger Qualitätsdruck,Gloss,,,,5000,176.68,1325.1,1.6,2120,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-din-lang-quer-vertikaler-wickelfalz-6seitig.html
