source_index,quantity,eur,dkk_base,tier_multiplier,dkk_final,li_text
0,50,34.65,259.875,1.5,390,"50 Stück (34,65 Euro netto)"
1,100,47.25,354.375,1.5,532,"100 Stück (47,25 Euro netto)"
2,150,59.85,448.875,1.5,673,"150 Stück (59,85 Euro netto)"
3,200,72.45,543.375,1.5,815,"200 Stück (72,45 Euro netto)"
4,250,85.05,637.875,1.5,957,"250 Stück (85,05 Euro netto)"
5,500,145.63,1092.225,1.5,1638,"500 Stück (145,63 Euro netto)"
6,750,173.35,1300.125,1.5,1950,"750 Stück (173,35 Euro netto)"
7,1000,182.59,1369.425,1.5,2054,"1000 Stück (182,59 Euro netto)"
8,1500,277.6,2082,1.5,3123,"1500 Stück (277,60 Euro netto)"
9,2000,301.32,2259.9,1.5,3390,"2000 Stück (301,32 Euro netto)"
10,2500,325.04,2437.8,1.5,3657,"2500 Stück (325,04 Euro netto)"
11,3000,469.55,3521.625,1.4,4930,"3000 Stück (469,55 Euro netto)"
12,4000,517.72,3882.9,1.4,5436,"4000 Stück (517,72 Euro netto)"
13,5000,565.89,4244.175,1.4,5942,"5000 Stück (565,89 Euro netto)"
14,6000,840.46,6303.45,1.4,8825,"6000 Stück (840,46 Euro netto)"
15,7000,886.22,6646.65,1.4,9305,"7000 Stück (886,22 Euro netto)"
16,8000,931.98,6989.85,1.4,9786,"8000 Stück (931,98 Euro netto)"
17,9000,977.75,7333.125,1.4,10266,"9000 Stück (977,75 Euro netto)"
18,10000,1023.5,7676.25,1.4,10747,"10000 Stück (1.023,50 Euro netto)"
