format,print_mode,kachering,material,quantity,eur,dkk_base,tier_multiplier,dkk_final,detail_url
21x21 salgsmappe med Kachering,4+0,Glanzfolie,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",100,169.97,1274.775,1.6,2040,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-glanzfolie-kaschiert.html
21x21 salgsmappe med Kachering,4+0,Glanzfolie,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",150,199.34,1495.05,1.6,2392,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-glanzfolie-kaschiert.html
21x21 salgsmappe med Kachering,4+0,Glanzfolie,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",200,206.66,1549.95,1.6,2480,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-glanzfolie-kaschiert.html
21x21 salgsmappe med Kachering,4+0,Glanzfolie,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",250,220.74,1655.55,1.6,2649,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-glanzfolie-kaschiert.html
21x21 salgsmappe med Kachering,4+0,Glanzfolie,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",500,250.99,1882.425,1.6,3012,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-glanzfolie-kaschiert.html
21x21 salgsmappe med Kachering,4+0,Glanzfolie,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",750,349.86,2623.95,1.5,3936,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-glanzfolie-kaschiert.html
21x21 salgsmappe med Kachering,4+0,Glanzfolie,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",1000,382.82,2871.15,1.5,4307,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-glanzfolie-kaschiert.html
21x21 salgsmappe med Kachering,4+0,Glanzfolie,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",1500,623.43,4675.725,1.5,7014,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-glanzfolie-kaschiert.html
21x21 salgsmappe med Kachering,4+0,Glanzfolie,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",2000,680.67,5105.025,1.4,7147,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-glanzfolie-kaschiert.html
21x21 salgsmappe med Kachering,4+0,Glanzfolie,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",2500,737.9,5534.25,1.4,7748,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-glanzfolie-kaschiert.html
21x21 salgsmappe med Kachering,4+0,Glanzfolie,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",3000,1088.78,8165.85,1.4,11432,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-glanzfolie-kaschiert.html
21x21 salgsmappe med Kachering,4+0,Glanzfolie,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",4000,1205.73,9042.975,1.4,12660,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-glanzfolie-kaschiert.html
21x21 salgsmappe med Kachering,4+0,Glanzfolie,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",5000,1322.7,9920.25,1.4,13888,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-glanzfolie-kaschiert.html
21x21 salgsmappe med Kachering,4+0,Glanzfolie,"0,40 mm starker Chromokarton 255g für 5mm",100,156.03,1170.225,1.6,1872,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-glanzfolie-kaschiert.html
