format,print_mode,material,quantity,eur,dkk_base,tier_multiplier,dkk_final,detail_url
21x21 salgsmappe med UV lak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",100,186.34,1397.55,1.6,2236,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",150,213.55,1601.625,1.6,2563,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",200,220.34,1652.55,1.6,2644,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",250,234.29,1757.175,1.6,2811,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",500,252.58,1894.35,1.6,3031,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",750,343.09,2573.175,1.5,3860,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",1000,373.26,2799.45,1.5,4199,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",1500,590.62,4429.65,1.5,6644,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",2000,642.11,4815.825,1.5,7224,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
21x21 salgsmappe med UV lak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",2500,693.59,5201.925,1.4,7283,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-hochglanzuvlack.html
