format,print_mode,material,quantity,eur,dkk_base,tier_multiplier,dkk_final,detail_url
21x21 salgsmappe med UV Spotlak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",100,193.44,1450.8,1.6,2321,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",150,227.76,1708.2,1.6,2733,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",200,236.31,1772.325,1.6,2836,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",250,252.59,1894.425,1.6,3031,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",500,295.59,2216.925,1.5,3325,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",750,413.57,3101.775,1.5,4653,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",1000,452.9,3396.75,1.5,5095,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",1500,748.18,5611.35,1.4,7856,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",2000,818.54,6139.05,1.4,8595,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",2500,888.91,6666.825,1.4,9334,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",3000,1318.57,9889.275,1.4,13845,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",4000,1461.79,10963.425,1.3,14252,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",5000,1605.02,12037.65,1.3,15649,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",100,177.57,1331.775,1.6,2131,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",150,209.07,1568.025,1.6,2509,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",200,216.92,1626.9,1.6,2603,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",250,224.8,1686,1.6,2698,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",500,263.06,1972.95,1.6,3157,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",750,368.06,2760.45,1.5,4141,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",1000,403.06,3022.95,1.5,4534,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",1500,646.64,4849.8,1.5,7275,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",2000,707.46,5305.95,1.4,7428,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",2500,768.28,5762.1,1.4,8067,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",3000,1139.63,8547.225,1.4,11966,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",4000,1263.41,9475.575,1.4,13266,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+0,"0,40 mm starker Chromokarton 255g für 5mm",5000,1387.2,10404,1.3,13525,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+4,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",100,204.84,1536.3,1.6,2458,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+4,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",150,234.29,1757.175,1.6,2811,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+4,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",200,241.67,1812.525,1.6,2900,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+4,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",250,257.2,1929,1.6,3086,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+4,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",500,342.59,2569.425,1.5,3854,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+4,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",750,441.32,3309.9,1.5,4965,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+4,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",1000,474.23,3556.725,1.5,5335,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+4,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",1500,783.41,5875.575,1.4,8226,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+4,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",2000,856.96,6427.2,1.4,8998,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+4,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",2500,930.49,6978.675,1.4,9770,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+4,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",3000,1356.37,10172.775,1.3,13225,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+4,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",4000,1498.35,11237.625,1.3,14609,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+4,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",5000,1640.3,12302.25,1.3,15993,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+4,"0,40 mm starker Chromokarton 255g für 5mm",100,195.59,1466.925,1.6,2347,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+4,"0,40 mm starker Chromokarton 255g für 5mm",150,223.71,1677.825,1.6,2685,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+4,"0,40 mm starker Chromokarton 255g für 5mm",200,230.76,1730.7,1.6,2769,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-partieller-uvlackveredelung.html
21x21 salgsmappe med UV Spotlak,4+4,"0,40 mm starker Chromokarton 255g für 5mm",250,237.8,1783.5,1.6,2854,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-44-farbig-aussen-und-innenseite-bedruckt-mit-partieller-uvlackveredelung.html
