format,print_mode,material,quantity,eur,dkk_base,tier_multiplier,dkk_final,detail_url
21x21 salgsmappe,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",50,37.75,283.125,1.6,453,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt.html
21x21 salgsmappe,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",75,44.61,334.575,1.6,535,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt.html
21x21 salgsmappe,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",100,51.47,386.025,1.6,618,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt.html
21x21 salgsmappe,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",150,65.2,489,1.6,782,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt.html
21x21 salgsmappe,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",200,78.92,591.9,1.6,947,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt.html
21x21 salgsmappe,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",250,95.57,716.775,1.6,1147,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt.html
21x21 salgsmappe,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",500,166.36,1247.7,1.6,1996,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt.html
21x21 salgsmappe,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",750,244.23,1831.725,1.6,2931,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt.html
21x21 salgsmappe,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",1000,274.51,2058.825,1.5,3088,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt.html
21x21 salgsmappe,4+0,"0,36 mm starker Bilderdruckkarton 350g matt für 5mm",1500,433.03,3247.725,1.5,4872,https://www.wir-machen-druck.de/mappe-fuer-quadrat-21-x-21-cm-2teilig-mit-2-laschen-40-farbig-aussenseite-bedruckt.html
