row_type,format,material,surface,uv_lak,kachering,gloss_caching,quantity,eur,dkk_base,tier_multiplier,dkk_final,source_material,inferred_from_quantity,detail_url
base_surface,XL M65,115g hochwertiger Qualitätsdruck,Gloss,,,,50,30.37,227.775,1.6,364,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-105-cm-x-297-cm-vertikaler-mittelfalz-4seitig.html
base_surface,XL M65,115g hochwertiger Qualitätsdruck,Gloss,,,,100,38.34,287.55,1.6,460,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-105-cm-x-297-cm-vertikaler-mittelfalz-4seitig.html
base_surface,XL M65,115g hochwertiger Qualitätsdruck,Gloss,,,,250,49.66,372.45,1.6,596,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-105-cm-x-297-cm-vertikaler-mittelfalz-4seitig.html
base_surface,XL M65,115g hochwertiger Qualitätsdruck,Gloss,,,,500,56.33,422.475,1.6,676,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-105-cm-x-297-cm-vertikaler-mittelfalz-4seitig.html
base_surface,XL M65,115g hochwertiger Qualitätsdruck,Gloss,,,,1000,60.57,454.275,1.6,727,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-105-cm-x-297-cm-vertikaler-mittelfalz-4seitig.html
base_surface,XL M65,115g hochwertiger Qualitätsdruck,Gloss,,,,1500,91.58,686.85,1.6,1099,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-105-cm-x-297-cm-vertikaler-mittelfalz-4seitig.html
base_surface,XL M65,115g hochwertiger Qualitätsdruck,Gloss,,,,2000,106.45,798.375,1.6,1277,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-105-cm-x-297-cm-vertikaler-mittelfalz-4seitig.html
base_surface,XL M65,115g hochwertiger Qualitätsdruck,Gloss,,,,2500,113.51,851.325,1.6,1362,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-105-cm-x-297-cm-vertikaler-mittelfalz-4seitig.html
base_surface,XL M65,115g hochwertiger Qualitätsdruck,Gloss,,,,3000,127.91,959.325,1.6,1535,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-105-cm-x-297-cm-vertikaler-mittelfalz-4seitig.html
base_surface,XL M65,115g hochwertiger Qualitätsdruck,Gloss,,,,4000,157.37,1180.275,1.6,1888,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-105-cm-x-297-cm-vertikaler-mittelfalz-4seitig.html
base_surface,XL M65,115g hochwertiger Qualitätsdruck,Gloss,,,,5000,184.22,1381.65,1.6,2211,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-105-cm-x-297-cm-vertikaler-mittelfalz-4seitig.html
base_surface,XL M65,115g hochwertiger Qualitätsdruck,Gloss,,,,6000,215.73,1617.975,1.6,2589,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-105-cm-x-297-cm-vertikaler-mittelfalz-4seitig.html
base_surface,XL M65,115g hochwertiger Qualitätsdruck,Gloss,,,,7000,244.84,1836.3,1.6,2938,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-105-cm-x-297-cm-vertikaler-mittelfalz-4seitig.html
base_surface,XL M65,115g hochwertiger Qualitätsdruck,Gloss,,,,8000,274.05,2055.375,1.5,3083,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-105-cm-x-297-cm-vertikaler-mittelfalz-4seitig.html
base_surface,XL M65,115g hochwertiger Qualitätsdruck,Gloss,,,,9000,303.61,2277.075,1.5,3416,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-105-cm-x-297-cm-vertikaler-mittelfalz-4seitig.html
base_surface,XL M65,115g hochwertiger Qualitätsdruck,Gloss,,,,10000,323.84,2428.8,1.5,3643,115g hochwertiger Qualitätsdruck glänzend,,https://www.wir-machen-druck.de/faltblatt-gefalzt-auf-105-cm-x-297-cm-vertikaler-mittelfalz-4seitig.html
